time	date	datetime	milliseconds	mean	median	upper	lower
2025.22	2025-03-21	2025-03-21T03:12:00	1742526720925	33.20264345714758	26.829399007695223	1443.9193768388689	1.243574987790114
2025.2003921568628	2025-03-13	2025-03-13T23:26:07	1741908367984	31.60533522291458	25.554172426214862	760.9037493633484	1.8863226336377952
2025.1807843137256	2025-03-06	2025-03-06T19:40:15	1741290015043	28.890357094281715	22.88371538520262	459.6597856951909	2.8190758901744495
2025.1611764705883	2025-02-27	2025-02-27T15:54:22	1740671662102	25.975251574697204	21.39471092820941	242.3459050265646	3.6535631302960896
2025.141568627451	2025-02-20	2025-02-20T12:08:29	1740053309161	20.56915819357862	18.03441809937893	125.84430365342273	3.280375656488244
2025.1219607843138	2025-02-13	2025-02-13T08:22:36	1739434956220	18.177519742293406	16.366368789303223	93.18654301450138	3.2475816852241564
2025.1023529411766	2025-02-06	2025-02-06T04:36:43	1738816603278	18.76189245321923	17.049307740968374	96.02561289405017	4.082234542240363
2025.0827450980394	2025-01-30	2025-01-30T00:50:50	1738198250337	20.083905607316293	17.832371304056057	117.51003374430228	4.331547679701225
2025.0631372549021	2025-01-22	2025-01-22T21:04:57	1737579897396	20.301952216042583	18.307714191537954	96.38264866869352	4.078878236365484
2025.043529411765	2025-01-15	2025-01-15T17:19:04	1736961544455	18.253362978422867	16.756952533953903	90.4446636981594	4.218830618906742
2025.0239215686277	2025-01-08	2025-01-08T13:33:11	1736343191514	14.932936433365944	13.639103017638103	71.55508561564206	3.5718621705586346
2025.0043137254904	2025-01-01	2025-01-01T09:47:18	1735724838573	10.835817379656026	9.930503005043155	51.08054584895736	2.746914718244021
2024.9847058823532	2024-12-24	2024-12-24T06:01:25	1735020085632	7.212811003612374	6.805936171738588	32.124400374499686	2.0944391394421937
2024.965098039216	2024-12-17	2024-12-17T02:15:32	1734401732691	4.029820049751695	3.8403620963294385	18.689134737290953	1.057547592086459
2024.9454901960787	2024-12-09	2024-12-09T22:29:39	1733783379750	2.9168582874127353	2.8015812198281695	11.960050222762838	0.6836260199287225
2024.9258823529415	2024-12-02	2024-12-02T18:43:46	1733165026809	2.0593663279238887	1.954259809073389	10.460503224735904	0.5569190567740864
2024.9062745098042	2024-11-25	2024-11-25T14:57:53	1732546673868	1.1680399154420533	1.1189511139364687	5.436729237578579	0.2704374684139376
2024.886666666667	2024-11-18	2024-11-18T11:12:00	1731928320927	1.1543588472245454	1.0753285289100907	5.670608457680603	0.2987342894293597
2024.8670588235298	2024-11-11	2024-11-11T07:26:07	1731309967985	0.7979984408556065	0.7646274930565093	3.5478988733215986	0.18490977341735493
2024.8474509803925	2024-11-04	2024-11-04T03:40:15	1730691615044	0.47666257806331597	0.458513297322878	2.323177057898081	0.1067071461529282
2024.8278431372553	2024-10-27	2024-10-27T23:54:22	1730073262104	0.24132468169649185	0.23734531439604684	1.2375773550495377	0.04732116158816622
2024.808235294118	2024-10-20	2024-10-20T20:08:29	1729454909163	0.12722157997331177	0.12229982531583816	0.832373997960454	0.023244797895681613
2024.7886274509808	2024-10-13	2024-10-13T16:22:36	1728836556222	0.08462447172856835	0.08237545366502172	0.41513878982643226	0.013935430858256735
2024.7690196078436	2024-10-06	2024-10-06T12:36:43	1728218203280	0.05918094129616357	0.05728735388716218	0.3800178854452476	0.010296348517062692
2024.7494117647063	2024-09-29	2024-09-29T08:50:50	1727599850339	0.04195728208009287	0.0433273552699932	0.372573039045928	0.0044099278797972
2024.729803921569	2024-09-22	2024-09-22T05:04:57	1726981497398	0.03024157063597033	0.03198943619764565	0.3518051161798847	0.0017621482246625078
2024.7101960784319	2024-09-15	2024-09-15T01:19:04	1726363144458	0.02192377447384127	0.02378028552113989	0.37977005930020846	8.854619336563028E-4
2024.6905882352946	2024-09-07	2024-09-07T21:33:11	1725744791517	0.01578043442311728	0.01827462727210248	0.38893976300989036	4.592837898461801E-4
2024.6709803921574	2024-08-31	2024-08-31T17:47:18	1725126438576	0.011900964656453208	0.014234143589508742	0.33493792090184366	2.529025900229294E-4
2024.6513725490202	2024-08-24	2024-08-24T14:01:25	1724508085634	0.008892056398315123	0.011113056635268579	0.288746857953229	1.7505315137163213E-4
2024.631764705883	2024-08-17	2024-08-17T10:15:32	1723889732693	0.006793560899391569	0.008221667548451725	0.1817330463884378	1.2418098543415693E-4
2024.6121568627457	2024-08-10	2024-08-10T06:29:39	1723271379752	0.005327260529374028	0.006740074617953781	0.15375578715587165	6.874935743508518E-5
2024.5925490196084	2024-08-03	2024-08-03T02:43:46	1722653026811	0.004511665973521621	0.005657526116954772	0.14956961969585245	4.6224783892234805E-5
2024.5729411764712	2024-07-26	2024-07-26T22:57:53	1722034673871	0.003984131418223039	0.0052195798253239405	0.18367326435899042	4.995478924114593E-5
2024.553333333334	2024-07-19	2024-07-19T19:12:00	1721416320931	0.0035078548153155893	0.004817281160952875	0.15395241852344166	2.9440959386505853E-5
2024.5337254901967	2024-07-12	2024-07-12T15:26:07	1720797967989	0.0030747595780389663	0.004481524757590032	0.2207452517896993	2.0390131980155272E-5
2024.5141176470595	2024-07-05	2024-07-05T11:40:15	1720179615048	0.0029421729741934497	0.0043702472871176	0.28396623918583697	2.0505219798589032E-5
2024.4945098039223	2024-06-28	2024-06-28T07:54:22	1719561262109	0.00283945050409719	0.0041311249861528355	0.3144590455730281	1.409219226898282E-5
