Date	density
2024.4225249999956	0.0
2024.4225749999957	1.033836599404585E-5
2024.4226249999958	1.1862475584216058E-5
2024.422674999996	1.3386585174386263E-5
2024.422724999996	1.491069476455647E-5
2024.4227749999961	2.1054231435899317E-5
2024.4228249999962	2.7875819897929423E-5
2024.4228749999963	3.469740835995953E-5
2024.4229249999964	4.1518996821989635E-5
2024.4229749999965	4.834058528401974E-5
2024.4230249999966	5.5162173746049853E-5
2024.4230749999967	6.198376220807996E-5
2024.4231249999968	6.880535067011006E-5
2024.423174999997	9.219164109522871E-5
2024.423224999997	1.1878968834615746E-4
2024.4232749999971	1.453877355970862E-4
2024.4233249999972	1.7198578284801494E-4
2024.4233749999973	1.985838300989437E-4
2024.4234249999975	2.2518187734987244E-4
2024.4234749999976	2.517799246008012E-4
2024.4235249999977	2.783779718517299E-4
2024.4235749999978	3.5608190364490853E-4
2024.4236249999979	4.4630865663303676E-4
2024.423674999998	5.36535409621165E-4
2024.423724999998	6.267621626092933E-4
2024.4237749999982	7.169889155974217E-4
2024.4238249999983	8.072156685855499E-4
2024.4238749999984	8.974424215736781E-4
2024.4239249999985	9.876691745618065E-4
2024.4239749999986	0.0012128791757054667
2024.4240249999987	0.0014786867491343183
2024.4240749999988	0.0017444943225631696
2024.4241249999989	0.002010301895992021
2024.424174999999	0.002276109469420873
2024.424224999999	0.002541917042849724
2024.4242749999992	0.002807724616278576
2024.4243249999993	0.003073532189707427
2024.4243749999994	0.003642317463631131
2024.4244249999995	0.004320691294408162
2024.4244749999996	0.0049990651251851925
2024.4245249999997	0.0056774389559622225
2024.4245749999998	0.006355812786739254
2024.4246249999999	0.007034186617516284
2024.424675	0.007712560448293316
2024.424725	0.008390934279070346
2024.4247750000002	0.009640556056837916
2024.4248250000003	0.011135038497495215
2024.4248750000004	0.012629520938152514
2024.4249250000005	0.014124003378809813
2024.4249750000006	0.015618485819467112
2024.4250250000007	0.01711296826012441
2024.4250750000008	0.018607450700781708
2024.425125000001	0.02010193314143901
2024.425175000001	0.022483166622850742
2024.425225000001	0.025309991813099276
2024.4252750000012	0.02813681700334781
2024.4253250000013	0.030963642193596343
2024.4253750000014	0.03379046738384488
2024.4254250000015	0.03661729257409341
2024.4254750000016	0.039444117764341945
2024.4255250000017	0.04227094295459048
2024.4255750000018	0.04618634303089292
2024.425625000002	0.05073791677725762
2024.425675000002	0.055289490523622316
2024.425725000002	0.05984106426998702
2024.4257750000022	0.06439263801635171
2024.4258250000023	0.06894421176271641
2024.4258750000024	0.0734957855090811
2024.4259250000025	0.07804735925544581
2024.4259750000026	0.08355034623139274
2024.4260250000027	0.08969626583247808
2024.4260750000028	0.09584218543356343
2024.426125000003	0.10198810503464878
2024.426175000003	0.10813402463573413
2024.4262250000031	0.11427994423681948
2024.4262750000032	0.12042586383790482
2024.4263250000033	0.12657178343899017
2024.4263750000034	0.13306141093476065
2024.4264250000035	0.1398185469355415
2024.4264750000036	0.14657568293632237
2024.4265250000037	0.1533328189371032
2024.4265750000038	0.16008995493788408
2024.426625000004	0.16684709093866493
2024.426675000004	0.17360422693944577
2024.4267250000041	0.18036136294022664
2024.4267750000042	0.18652267301529732
2024.4268250000043	0.19215119343987241
2024.4268750000044	0.1977797138644475
2024.4269250000045	0.2034082342890226
2024.4269750000046	0.20903675471359773
2024.4270250000047	0.21466527513817282
2024.4270750000048	0.22029379556274792
2024.427125000005	0.225922315987323
2024.427175000005	0.23009692490836806
2024.4272250000051	0.23277943333108234
2024.4272750000052	0.2354619417537966
2024.4273250000053	0.23814445017651087
2024.4273750000054	0.24082695859922512
2024.4274250000055	0.24350946702193937
2024.4274750000056	0.24619197544465365
2024.4275250000057	0.2488744838673679
2024.4275750000058	0.24976517007249835
2024.427625000006	0.24854486750560306
2024.427675000006	0.24732456493870777
2024.4277250000061	0.2461042623718125
2024.4277750000062	0.2448839598049172
2024.4278250000064	0.2436636572380219
2024.4278750000065	0.24244335467112663
2024.4279250000066	0.24122305210423134
2024.4279750000067	0.2385364046729336
2024.4280250000068	0.23386346479782727
2024.4280750000069	0.22919052492272096
2024.428125000007	0.22451758504761465
2024.428175000007	0.21984464517250832
2024.4282250000072	0.215171705297402
2024.4282750000073	0.21049876542229567
2024.4283250000074	0.20582582554718937
2024.4283750000075	0.20042657812427506
2024.4284250000076	0.1938927187932939
2024.4284750000077	0.1873588594623127
2024.4285250000078	0.18082500013133151
2024.4285750000079	0.17429114080035035
2024.428625000008	0.1677572814693692
2024.428675000008	0.161223422138388
2024.4287250000082	0.1546895628074068
2024.4287750000083	0.14815764288657812
2024.4288250000084	0.1416292330643933
2024.4288750000085	0.13510082324220843
2024.4289250000086	0.1285724134200236
2024.4289750000087	0.12204400359783875
2024.4290250000088	0.1155155937756539
2024.4290750000089	0.10898718395346906
2024.429125000009	0.10245877413128421
2024.429175000009	0.09635241970985732
2024.4292250000092	0.09113686391521936
2024.4292750000093	0.0859213081205814
2024.4293250000094	0.08070575232594343
2024.4293750000095	0.07549019653130545
2024.4294250000096	0.07027464073666749
2024.4294750000097	0.06505908494202953
2024.4295250000098	0.05984352914739156
2024.42957500001	0.055129124018700376
2024.42962500001	0.05165930311605713
2024.42967500001	0.04818948221341388
