date,NAME_1,NAME_2,Precipitation,Temperature,St_Prec,St_Temp
2024/06/02,Saint-Pierre,Saint-Joseph,4.34E-04,19.644495,0.004043796,0.402933514
2024/06/02,Saint-Pierre,Saint-Louis,6.99E-05,20.8844852,0.00065118,0.500108217
2024/06/02,Saint-Pierre,Saint-Philippe,4.18E-04,18.4045048,0.003889325,0.305758811
2024/06/02,Saint-Pierre,Saint-Pierre,1.97E-04,20.8844852,0.001829381,0.500108217
2024/06/03,Saint-Benoît,Bras-Panon,2.32E-05,21.0781803,0.000216371,0.515287582
2024/06/03,Saint-Benoît,La Plaine-des-Palmistes,3.36E-05,20.030817,0.000312647,0.433208532
2024/06/03,Saint-Benoît,Saint-André,2.23E-05,21.0781803,0.000208024,0.515287582
2024/06/03,Saint-Benoît,Saint-Benoît,3.44E-05,20.030817,0.000320416,0.433208532
2024/06/03,Saint-Benoît,Sainte-Rose,3.48E-05,20.1773014,0.000323676,0.444688122
2024/06/03,Saint-Benoît,Salazie,3.86E-05,19.9316959,0.000358982,0.425440678
2024/06/03,Saint-Denis,La Possession,4.10E-05,19.9316959,0.000382079,0.425440678
2024/06/03,Saint-Denis,Le Port,3.52E-05,NA,0.000328115,NA
2024/06/03,Saint-Denis,Saint-Denis,4.17E-05,19.9316959,0.0003886,0.425440678
2024/06/03,Saint-Denis,Sainte-Marie,3.25E-05,19.9316959,0.000302936,0.425440678
2024/06/03,Saint-Denis,Sainte-Suzanne,2.06E-05,21.0781803,0.000191331,0.515287582
2024/06/03,Saint-Paul,L'Étang-Salé,4.95E-06,19.8369694,4.61E-05,0.418017216
2024/06/03,Saint-Paul,Les Avirons,1.09E-05,19.8369694,0.000101483,0.418017216
2024/06/03,Saint-Paul,Les Trois-Bassins,2.33E-05,19.9316959,0.000217273,0.425440678
2024/06/03,Saint-Paul,Saint-Leu,4.21E-06,19.8843327,3.91E-05,0.421728951
2024/06/03,Saint-Paul,Saint-Paul,3.52E-05,19.9316959,0.000328115,0.425440678
2024/06/03,Saint-Pierre,Cilaos,1.99E-05,19.8843327,0.000185435,0.421728951
2024/06/03,Saint-Pierre,L'Entre-Deux,1.72E-05,19.8369694,0.000160118,0.418017216
2024/06/03,Saint-Pierre,Le Tampon,2.94E-05,19.8369694,0.000274012,0.418017216
2024/06/03,Saint-Pierre,Petite-Île,2.48E-05,19.8369694,0.000231007,0.418017216
2024/06/03,Saint-Pierre,Saint-Joseph,2.98E-05,18.9834538,0.000277757,0.35112949
2024/06/03,Saint-Pierre,Saint-Louis,4.95E-06,19.8369694,4.61E-05,0.418017216
2024/06/03,Saint-Pierre,Saint-Philippe,2.90E-05,18.1299381,0.000270266,0.284241756
2024/06/03,Saint-Pierre,Saint-Pierre,1.30E-05,19.8369694,0.000120719,0.418017216
2024/06/04,Saint-Benoît,Bras-Panon,0.001536682,19.5809574,0.014306129,0.397954243
2024/06/04,Saint-Benoît,La Plaine-des-Palmistes,0.003170226,18.4907475,0.029514012,0.31251742
2024/06/04,Saint-Benoît,Saint-André,0.001275708,19.5809574,0.011876526,0.397954243
2024/06/04,Saint-Benoît,Saint-Benoît,0.002873294,18.4907475,0.026749652,0.31251742
2024/06/04,Saint-Benoît,Sainte-Rose,0.004015885,18.6500492,0.037386892,0.325001467
2024/06/04,Saint-Benoît,Salazie,0.001979396,17.4696293,0.018427681,0.232495128
2024/06/04,Saint-Denis,La Possession,0.00124763,17.4696293,0.01161512,0.232495128
2024/06/04,Saint-Denis,Le Port,0.001056045,NA,0.009831519,NA
2024/06/04,Saint-Denis,Saint-Denis,0.001234338,17.4696293,0.011491376,0.232495128
2024/06/04,Saint-Denis,Sainte-Marie,0.001361296,17.4696293,0.012673323,0.232495128
2024/06/04,Saint-Denis,Sainte-Suzanne,7.54E-04,19.5809574,0.007017321,0.397954243
2024/06/04,Saint-Paul,L'Étang-Salé,5.21E-04,19.1932621,0.004849171,0.367571603
2024/06/04,Saint-Paul,Les Avirons,6.05E-04,19.1932621,0.005632002,0.367571603
2024/06/04,Saint-Paul,Les Trois-Bassins,8.52E-04,17.4696293,0.007930902,0.232495128
2024/06/04,Saint-Paul,Saint-Leu,3.30E-04,18.3314457,0.003067928,0.300033366
2024/06/04,Saint-Paul,Saint-Paul,0.001056045,17.4696293,0.009831519,0.232495128
2024/06/04,Saint-Pierre,Cilaos,0.00130285,18.3314457,0.012129204,0.300033366
2024/06/04,Saint-Pierre,L'Entre-Deux,0.001671359,19.1932621,0.015559936,0.367571603
2024/06/04,Saint-Pierre,Le Tampon,0.002988085,19.1932621,0.027818329,0.367571603
2024/06/04,Saint-Pierre,Petite-Île,0.002845138,19.1932621,0.026487529,0.367571603
2024/06/04,Saint-Pierre,Saint-Joseph,0.003373835,17.4005375,0.031409566,0.227080589
2024/06/04,Saint-Pierre,Saint-Louis,5.21E-04,19.1932621,0.004849171,0.367571603
2024/06/04,Saint-Pierre,Saint-Philippe,0.003715888,15.6078129,0.034593989,0.086589575
2024/06/04,Saint-Pierre,Saint-Pierre,0.001569048,19.1932621,0.014607442,0.367571603
2024/06/05,Saint-Benoît,Bras-Panon,3.40E-04,21.3402195,0.003169198,0.535822891
2024/06/05,Saint-Benoît,La Plaine-des-Palmistes,9.12E-04,20.1794529,0.008487644,0.444856729
2024/06/05,Saint-Benoît,Saint-André,2.39E-04,21.3402195,0.00222082,0.535822891
2024/06/05,Saint-Benoît,Saint-Benoît,7.99E-04,20.1794529,0.007437522,0.444856729
2024/06/05,Saint-Benoît,Sainte-Rose,0.001159228,20.3321629,0.010792128,0.456824202
2024/06/05,Saint-Benoît,Salazie,3.50E-04,19.6624851,0.003262214,0.40434335
2024/06/05,Saint-Denis,La Possession,7.94E-06,19.6624851,7.39E-05,0.40434335
2024/06/05,Saint-Denis,Le Port,1.69E-05,NA,0.000157177,NA
2024/06/05,Saint-Denis,Saint-Denis,8.72E-06,19.6624851,8.12E-05,0.40434335
2024/06/05,Saint-Denis,Sainte-Marie,1.65E-04,19.6624851,0.001533166,0.40434335
2024/06/05,Saint-Denis,Sainte-Suzanne,3.48E-05,21.3402195,0.000324064,0.535822891
2024/06/05,Saint-Paul,L'Étang-Salé,3.29E-05,20.3910007,0.000306169,0.461435162
2024/06/05,Saint-Paul,Les Avirons,2.98E-05,20.3910007,0.00027736,0.461435162
2024/06/05,Saint-Paul,Les Trois-Bassins,2.78E-05,19.6624851,0.000258377,0.40434335
2024/06/05,Saint-Paul,Saint-Leu,2.58E-06,20.0267429,2.40E-05,0.432889256
2024/06/05,Saint-Paul,Saint-Paul,1.69E-05,19.6624851,0.000157177,0.40434335
2024/06/05,Saint-Pierre,Cilaos,2.34E-04,20.0267429,0.002174219,0.432889256
2024/06/05,Saint-Pierre,L'Entre-Deux,4.26E-04,20.3910007,0.003962017,0.461435162
2024/06/05,Saint-Pierre,Le Tampon,8.81E-04,20.3910007,0.008198712,0.461435162
2024/06/05,Saint-Pierre,Petite-Île,8.43E-04,20.3910007,0.007849123,0.461435162
2024/06/05,Saint-Pierre,Saint-Joseph,9.62E-04,19.0186863,0.008952273,0.353890567
2024/06/05,Saint-Pierre,Saint-Louis,3.29E-05,20.3910007,0.000306169,0.461435162
2024/06/05,Saint-Pierre,Saint-Philippe,9.54E-04,17.6463718,0.008884436,0.246345963
2024/06/05,Saint-Pierre,Saint-Pierre,4.24E-04,20.3910007,0.003945786,0.461435162
2024/06/06,Saint-Benoît,Bras-Panon,0.001625918,20.8894749,0.01513689,0.500499247
2024/06/06,Saint-Benoît,La Plaine-des-Palmistes,0.003190991,19.8646946,0.029707327,0.420189966
2024/06/06,Saint-Benoît,Saint-André,0.001381472,20.8894749,0.012861158,0.500499247
2024/06/06,Saint-Benoît,Saint-Benoît,0.002887681,19.8646946,0.026883592,0.420189966
2024/06/06,Saint-Benoît,Sainte-Rose,0.004154697,20.127512,0.038679195,0.44078626
2024/06/06,Saint-Benoît,Salazie,0.001469724,18.7254124,0.013682763,0.330907478
2024/06/06,Saint-Denis,La Possession,4.22E-04,18.7254124,0.003927752,0.330907478
2024/06/06,Saint-Denis,Le Port,4.32E-04,NA,0.004024722,NA
2024/06/06,Saint-Denis,Saint-Denis,7.15E-04,18.7254124,0.006654067,0.330907478
2024/06/06,Saint-Denis,Sainte-Marie,0.001136422,18.7254124,0.010579807,0.330907478
2024/06/06,Saint-Denis,Sainte-Suzanne,8.93E-04,20.8894749,0.008309693,0.500499247
2024/06/06,Saint-Paul,L'Étang-Salé,1.59E-04,20.4783421,0.001481733,0.468279873
2024/06/06,Saint-Paul,Les Avirons,2.07E-04,20.4783421,0.001923715,0.468279873
2024/06/06,Saint-Paul,Les Trois-Bassins,3.18E-04,18.7254124,0.00295771,0.330907478
2024/06/06,Saint-Paul,Saint-Leu,6.56E-05,19.6018772,0.000610256,0.399593672
2024/06/06,Saint-Paul,Saint-Paul,4.32E-04,18.7254124,0.004024722,0.330907478
2024/06/06,Saint-Pierre,Cilaos,9.02E-04,19.6018772,0.008400906,0.399593672
2024/06/06,Saint-Pierre,L'Entre-Deux,0.001447186,20.4783421,0.01347294,0.468279873
2024/06/06,Saint-Pierre,Le Tampon,0.002943277,20.4783421,0.027401179,0.468279873
2024/06/06,Saint-Pierre,Petite-Île,0.002872556,20.4783421,0.026742785,0.468279873
2024/06/06,Saint-Pierre,Saint-Joseph,0.003376637,18.8399143,0.031435646,0.339880685
2024/06/06,Saint-Pierre,Saint-Louis,1.59E-04,20.4783421,0.001481733,0.468279873
2024/06/06,Saint-Pierre,Saint-Philippe,0.00364539,17.2014866,0.033937676,0.211481504
2024/06/06,Saint-Pierre,Saint-Pierre,0.001444131,20.4783421,0.013444501,0.468279873
2024/06/07,Saint-Benoît,Bras-Panon,0.001499798,20.920557,0.013962747,0.502935068
2024/06/07,Saint-Benoît,La Plaine-des-Palmistes,0.002891907,19.7662601,0.026922938,0.412475918
